raw_symbol,instrument_id,date
TSLA,10975,2022-09-13
TSLA,10976,2022-09-14
TSLA,10980,2022-09-15
TSLA,10983,2022-09-16
TSLA,10983,2022-09-17
TSLA,10983,2022-09-18
TSLA,10977,2022-09-19
TSLA,10980,2022-09-20
TSLA,10979,2022-09-21
TSLA,10983,2022-09-22
TSLA,10982,2022-09-23
TSLA,10982,2022-09-24
TSLA,10982,2022-09-25
TSLA,10979,2022-09-26
TSLA,10978,2022-09-27
TSLA,10980,2022-09-28
TSLA,10986,2022-09-29
TSLA,10992,2022-09-30
TSLA,10992,2022-10-01
TSLA,10992,2022-10-02
TSLA,10984,2022-10-03
TSLA,10981,2022-10-04
TSLA,10981,2022-10-05
TSLA,10976,2022-10-06
TSLA,10972,2022-10-07
TSLA,10972,2022-10-08
TSLA,10972,2022-10-09
TSLA,10965,2022-10-10
TSLA,10967,2022-10-11
TSLA,10968,2022-10-12
TSLA,10974,2022-10-13
TSLA,10974,2022-10-14
TSLA,10974,2022-10-15
TSLA,10974,2022-10-16
TSLA,10965,2022-10-17
TSLA,10961,2022-10-18
TSLA,10960,2022-10-19
TSLA,10955,2022-10-20
TSLA,10948,2022-10-21
TSLA,10948,2022-10-22
TSLA,10948,2022-10-23
TSLA,10940,2022-10-24
TSLA,10928,2022-10-25
TSLA,10928,2022-10-26
TSLA,10926,2022-10-27
TSLA,10922,2022-10-28
TSLA,10922,2022-10-29
TSLA,10922,2022-10-30
TSLA,10913,2022-10-31
TSLA,10906,2022-11-01
TSLA,10905,2022-11-02
TSLA,10908,2022-11-03
TSLA,10904,2022-11-04
TSLA,10904,2022-11-05
TSLA,10904,2022-11-06
TSLA,10899,2022-11-07
TSLA,10899,2022-11-08
TSLA,10903,2022-11-09
TSLA,10912,2022-11-10
TSLA,10906,2022-11-11
TSLA,10906,2022-11-12
TSLA,10906,2022-11-13
TSLA,10903,2022-11-14
TSLA,10898,2022-11-15
TSLA,10897,2022-11-16
TSLA,10900,2022-11-17
TSLA,10893,2022-11-18
TSLA,10893,2022-11-19
TSLA,10893,2022-11-20
TSLA,10887,2022-11-21
TSLA,10888,2022-11-22
TSLA,10876,2022-11-23
TSLA,10876,2022-11-24
TSLA,10878,2022-11-25
TSLA,10878,2022-11-26
TSLA,10878,2022-11-27
TSLA,10878,2022-11-28
TSLA,10872,2022-11-29
TSLA,10866,2022-11-30
TSLA,10857,2022-12-01
TSLA,10842,2022-12-02
TSLA,10842,2022-12-03
TSLA,10842,2022-12-04
TSLA,10839,2022-12-05
TSLA,10839,2022-12-06
TSLA,10837,2022-12-07
TSLA,10833,2022-12-08
TSLA,10827,2022-12-09
TSLA,10827,2022-12-10
TSLA,10827,2022-12-11
TSLA,10812,2022-12-12
TSLA,10805,2022-12-13
TSLA,10805,2022-12-14
TSLA,10783,2022-12-15
TSLA,10759,2022-12-16
TSLA,10759,2022-12-17
TSLA,10759,2022-12-18
TSLA,10736,2022-12-19
TSLA,10734,2022-12-20
TSLA,10724,2022-12-21
TSLA,10701,2022-12-22
TSLA,10686,2022-12-23
TSLA,10686,2022-12-24
TSLA,10686,2022-12-25
TSLA,10686,2022-12-26
TSLA,10668,2022-12-27
TSLA,10652,2022-12-28
TSLA,10648,2022-12-29
TSLA,10633,2022-12-30
TSLA,10633,2022-12-31
TSLA,10633,2023-01-01
TSLA,10633,2023-01-02
TSLA,10619,2023-01-03
TSLA,10614,2023-01-04
TSLA,10609,2023-01-05
TSLA,10608,2023-01-06
TSLA,10608,2023-01-07
TSLA,10608,2023-01-08
TSLA,10603,2023-01-09
TSLA,10600,2023-01-10
TSLA,10605,2023-01-11
TSLA,10601,2023-01-12
TSLA,10593,2023-01-13
TSLA,10593,2023-01-14
TSLA,10593,2023-01-15
TSLA,10593,2023-01-16
TSLA,10573,2023-01-17
TSLA,10572,2023-01-18
TSLA,10577,2023-01-19
TSLA,10578,2023-01-20
TSLA,10578,2023-01-21
TSLA,10578,2023-01-22
TSLA,10576,2023-01-23
TSLA,10574,2023-01-24
TSLA,10571,2023-01-25
TSLA,10572,2023-01-26
TSLA,10566,2023-01-27
TSLA,10566,2023-01-28
TSLA,10566,2023-01-29
TSLA,10562,2023-01-30
TSLA,10561,2023-01-31
TSLA,10558,2023-02-01
TSLA,10557,2023-02-02
TSLA,10547,2023-02-03
TSLA,10547,2023-02-04
TSLA,10547,2023-02-05
TSLA,10545,2023-02-06
TSLA,10547,2023-02-07
TSLA,10549,2023-02-08
TSLA,10548,2023-02-09
TSLA,10550,2023-02-10
TSLA,10550,2023-02-11
TSLA,10550,2023-02-12
TSLA,10544,2023-02-13
TSLA,10543,2023-02-14
TSLA,10538,2023-02-15
TSLA,10529,2023-02-16
TSLA,10526,2023-02-17
TSLA,10526,2023-02-18
TSLA,10526,2023-02-19
TSLA,10526,2023-02-20
TSLA,10522,2023-02-21
TSLA,10520,2023-02-22
TSLA,10516,2023-02-23
TSLA,10516,2023-02-24
TSLA,10516,2023-02-25
TSLA,10516,2023-02-26
TSLA,10507,2023-02-27
TSLA,10507,2023-02-28
TSLA,10502,2023-03-01
TSLA,10499,2023-03-02
TSLA,10497,2023-03-03
TSLA,10497,2023-03-04
TSLA,10497,2023-03-05
TSLA,10490,2023-03-06
TSLA,10485,2023-03-07
TSLA,10478,2023-03-08
TSLA,10479,2023-03-09
TSLA,10472,2023-03-10
TSLA,10472,2023-03-11
TSLA,10472,2023-03-12
TSLA,10450,2023-03-13
TSLA,10450,2023-03-14
TSLA,10446,2023-03-15
TSLA,10439,2023-03-16
TSLA,10438,2023-03-17
TSLA,10438,2023-03-18
TSLA,10438,2023-03-19
TSLA,10434,2023-03-20
TSLA,10433,2023-03-21
TSLA,10437,2023-03-22
TSLA,10436,2023-03-23
TSLA,10434,2023-03-24
TSLA,10434,2023-03-25
TSLA,10434,2023-03-26
TSLA,10418,2023-03-27
TSLA,10413,2023-03-28
TSLA,10412,2023-03-29
TSLA,10418,2023-03-30
TSLA,10395,2023-03-31
TSLA,10395,2023-04-01
TSLA,10395,2023-04-02
TSLA,10395,2023-04-03
TSLA,10394,2023-04-04
TSLA,10392,2023-04-05
TSLA,10389,2023-04-06
TSLA,10389,2023-04-07
TSLA,10389,2023-04-08
TSLA,10389,2023-04-09
TSLA,10386,2023-04-10
TSLA,10383,2023-04-11
TSLA,10380,2023-04-12
TSLA,10378,2023-04-13
TSLA,10374,2023-04-14
TSLA,10374,2023-04-15
TSLA,10374,2023-04-16
TSLA,10366,2023-04-17
TSLA,10369,2023-04-18
TSLA,10366,2023-04-19
TSLA,10369,2023-04-20
TSLA,10368,2023-04-21
TSLA,10368,2023-04-22
